source;target
10507;7399
10507;2238
10507;14326
10507;4726
10507;13017
10507;15358
10507;4697
10507;5314
10507;14370
10507;14853
10507;16171
10507;3913
10507;13065
10507;24457
10507;4091
10507;15154
10507;20784
10507;9322
10507;15436
10507;19165
10507;21489
10507;20920
10507;16117
10507;15891
10507;15536
14833;13699
14833;946
428;66
16454;1460
15655;10955
17200;17199
21203;21202
21203;16399
425;205
425;12540
12178;16437
19204;25911
19204;12540
19204;21783
19204;25912
13466;9426
3369;3906
3369;5283
26272;25689
26272;25918
26272;26455
26272;26456
26272;26273
15643;6142
1225;104
1225;809
1225;8264
1225;537
8219;8218
12312;3010
221;1414
221;1454
5213;5212
15290;5157
15290;15919
14795;14794
4181;380
9107;12373
9107;13915
9107;14486
9107;16109
747;248
118;517
19897;19896
13068;709
13068;2060
13068;15841
13068;21074
13312;10075
13312;224
393;423
393;385
26455;25918
26455;26456
26455;26273
11872;5325
11872;12180
5678;5325
10671;13589
10671;2426
10671;27611
10671;11176
10671;6416
10671;1440
16456;2329
28206;18093
16144;16143
1661;4440
7620;9399
20417;3020
11662;918
11662;2512
11662;11858
11662;22125
11662;14014
11662;14839
17122;17121
27036;27037
1303;390
1303;197
1303;389
1303;10075
1303;4602
1303;891
1303;2155
21870;25898
14836;11023
15555;10547
12011;4741
15492;12259
7778;4602
7778;4834
14027;6999
14307;805
4777;4602
4777;16337
918;2512
5314;14370
15203;12715
13456;13457
8299;13665
8299;8549
8299;8573
8299;13273
8299;24178
8299;16735
8299;12721
8299;12775
8299;24202
8299;8449
8299;24207
1054;5142
1054;5783
23459;6545
25903;25905
25903;12540
25903;25902
25903;25906
25903;25907
25903;25908
25903;25904
7914;5040
4281;11746
11745;7790
11745;11744
11745;11485
14197;18017
8590;13189
42;1010
42;920
42;315
27580;27579
27580;8181
27580;27581
22693;22694
22776;22775
13588;3010
3719;14502
23165;23164
20622;5169
6574;11760
6574;2187
6574;9066
6574;15608
6574;15607
6574;13120
6574;13119
14948;9368
