id,name
1,Electronic Arts
4,Eidos Interactive
21,Irrational Games
23,Feral Interactive
24,Sierra Entertainment
26,Square Enix
36,Frictional Games
38,Ubisoft Montreal
45,"Sony Computer Entertainment, Inc. (SCEI)"
50,WB Games
51,Blizzard Entertainment
53,Microsoft Game Studios
58,Mojang Studios
66,Activision
70,Nintendo
73,Aspyr Media
82,Atari
95,Disney Interactive
104,Ubisoft Entertainment
108,Techland
110,Focus Home Interactive
115,Codemasters
128,Microsoft
130,MacSoft Games
132,Destineer
137,Digital Illusions CE
139,Take-Two Interactive
157,1C Company
188,Apogee Software
196,Relic Entertainment
197,THQ
205,GT Interactive
227,U.S. Gold
229,SEGA of America
236,DreamCatcher Interactive
248,Bandai Namco Entertainment
258,KnowWonder
260,Argonaut Games
273,Sir-tech Software
277,EA Canada
283,The Sims Studio
284,Maxis
287,Acclaim Entertainment
303,Jaleco
304,Quicksilver Software
314,4A Games
322,Matrix Software
327,Midway Games
356,Slightly Mad Studios
374,Koch Media
376,Linux Game Publishing
385,Krome Studios
392,High Voltage Software
396,Dimps Corporation
404,Cyanide Studio
433,Ubisoft Reflections
438,Infinity Ward
449,D3 Publisher
457,Eugen Systems
466,Interactive Magic
481,Reflexive Entertainment
483,Gray Matter
512,Ocean
528,"SSI (Strategic Simulations, Inc.)"
543,Rage Software
552,Crystal Dynamics
568,SegaSoft
578,Gremlin Interactive
608,Broderbund
613,2D Boy
630,Koei
631,Zonic Limited
634,Devolver Digital
656,Angel Studios
667,Crave Entertainment
683,Hypnos Entertainment
684,Budcat Creations
691,HeadGames
694,Visual Concepts
696,HB Studios
700,Majesco Entertainment
702,Ubisoft Montpellier
716,Natsume
717,Red Storm Entertainment
762,HAL Laboratory
764,Psygnosis
769,Team Ninja
771,Rare
781,M2
782,Marvelous Entertainment
783,Kalypso Media
789,Buena Vista Games
794,Virtuos
795,Ninja Theory
800,Jupiter Corporation
816,Atelier Double
817,Taito
819,Neverland
821,TDK Mediactive
833,Ignition Entertainment
836,Kadokawa Games
841,Ubisoft Paris
843,Harmonix Music Systems
858,Koei Tecmo Games
862,Tamsoft
864,Hudson Soft
872,Altron
886,Just Games Interactive
896,(Archive) Ubisoft Quebec
899,Ubisoft Milan
951,Sunflowers Interactive Entertainment Software
1012,FromSoftware
1021,WayForward Technologies Inc.
1031,Core Design
1046,Stormfront Studios
1053,Spike
1054,Next Level Games
1189,TopWare Interactive
1192,Vic Tokai
1201,Software Creations
1215,Banpresto
1216,Pyramid
