id;name
1;Electronic Arts
2;BioWare
4;Eidos Interactive
8;2K Games
10;LucasArts
19;Arkane Studios
21;Irrational Games
23;Feral Interactive
24;Sierra Entertainment
26;Square Enix
27;Eidos Montréal
29;Rockstar Games
37;Capcom
38;Ubisoft Montreal
39;Ubisoft Annecy
45;Sony Computer Entertainment, Inc. (SCEI)
47;Obsidian Entertainment
48;NetherRealm Studios
50;WB Games
51;Blizzard Entertainment
53;Microsoft Game Studios
56;Valve Corporation
57;Certain Affinity
58;Mojang Studios
66;Activision
70;Nintendo
71;Raven Software
72;Vicarious Visions
73;Aspyr Media
74;CyberFront
82;Atari
85;Double Fine Productions
95;Disney Interactive
104;Ubisoft Entertainment
108;Techland
110;Focus Home Interactive
111;The Creative Assembly
112;Sega
115;Codemasters
122;Crytek Frankfurt
126;Bethesda Game Studios
129;Konami
132;Destineer
137;Digital Illusions CE
139;Take-Two Interactive
141;Virgin Interactive Entertainment (Europe) Ltd.
148;Gearbox Software
150;Hidden Path Entertainment
152;MicroProse
157;1C Company
161;Konami Digital Entertainment
163;Climax Studios
164;Rocksteady Studios
167;People Can Fly
170;Kojima Productions
175;Haemimont Games
179;Activision Blizzard
183;Hasbro Interactive
184;id Software
187;Nerve Software, LLC
190;Atari Corporation
191;Imagineer
196;Relic Entertainment
197;THQ
205;GT Interactive
213;Infogrames
221;Splash Damage
224;3D Realms
229;SEGA of America
230;MachineWorks Northwest
238;Typhoon Games
243;Sony Online Entertainment
248;Bandai Namco Entertainment
249;Crytek
250;Square
251;Sunsoft
252;Square Electronic Arts
255;ArenaNet
256;NCsoft
260;Argonaut Games
261;Quantic Dream
263;Namco
277;EA Canada
280;Starbreeze Studios
282;Trilobyte
283;The Sims Studio
284;Maxis
290;IO Interactive
291;Nixxes Software
292;Traveller's Tales
293;TT Games
294;Telltale Games
303;Jaleco
304;Quicksilver Software
305;Remedy Entertainment
310;Ultra Games
313;Success Corporation
314;4A Games
315;Trion Worlds
317;Dynamix
318;Rebellion Developments
321;Tose
322;Matrix Software
324;Square Soft
331;Triumph Studios
334;Sony Computer Entertainment Europe
360;Logicware
370;Péndulo Studios
374;Koch Media
377;Firaxis Games
378;Westlake Interactive
385;Krome Studios
387;Sculptured Software
392;High Voltage Software
393;inXile Entertainment
395;Sonic Team
396;Dimps Corporation
398;Ubisoft Shanghai
401;Naughty Dog
404;Cyanide Studio
405;Spiders
412;Codemasters Southam
413;Human Head Studios
414;Croteam
419;Project Aces
421;Nintendo EAD
423;Deep Silver
425;Eurocom
426;Disney Interactive Studios
427;Bugbear Entertainment
428;Treyarch
432;Beenox
433;Ubisoft Reflections
434;High Moon Studios
437;Avalanche Studios
438;Infinity Ward
439;Sumo Digital
440;(Archive) SCEE - duplicate
